frame,timestamp,src_mac,format,channel_width_mhz,num_rx,num_tx,num_subcarriers,rssi1,rssi2,csi_data_size,rate_n_flag
281,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
282,0,22:6e:45:de:34:20,HT,20,2,1,56,76,77,448,49667
283,0,22:6e:45:de:34:20,HT,20,2,1,56,75,80,448,49667
284,0,22:6e:45:de:34:20,HT,20,2,1,56,77,77,448,49667
285,0,22:6e:45:de:34:20,HT,20,2,1,56,77,76,448,49666
286,0,22:6e:45:de:34:20,HT,20,2,1,56,73,74,448,49667
287,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49666
288,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
289,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49666
290,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
291,0,22:6e:45:de:34:20,HT,20,2,1,56,74,75,448,49666
292,0,d2:eb:c2:e1:ba:12,HT,20,2,1,56,72,68,448,49668
293,0,22:6e:45:de:34:20,HT,20,2,1,56,77,75,448,49667
294,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
295,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49666
296,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49666
297,0,22:6e:45:de:34:20,HT,20,2,1,56,74,76,448,49667
298,0,22:6e:45:de:34:20,HT,20,2,1,56,73,75,448,49666
299,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
300,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49666
301,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49666
302,0,22:6e:45:de:34:20,HT,20,2,1,56,78,78,448,49667
303,0,22:6e:45:de:34:20,HT,20,2,1,56,79,78,448,49666
304,0,22:6e:45:de:34:20,HT,20,2,1,56,78,77,448,49666
305,0,22:6e:45:de:34:20,HT,20,2,1,56,75,75,448,49667
306,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49666
307,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49666
308,0,22:6e:45:de:34:20,HT,20,2,1,56,77,75,448,49667
309,0,22:6e:45:de:34:20,HT,20,2,1,56,73,75,448,49667
310,0,22:6e:45:de:34:20,HT,20,2,1,56,76,76,448,49667
311,0,22:6e:45:de:34:20,HT,20,2,1,56,76,77,448,49667
312,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
313,0,6a:af:7a:a0:d8:63,HT,20,2,1,56,81,80,448,49667
314,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,70,69,448,49671
315,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,69,69,448,49671
316,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,69,69,448,49671
317,0,22:6e:45:de:34:20,HT,20,2,1,56,75,74,448,49667
318,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,70,67,448,49671
319,0,22:6e:45:de:34:20,HT,20,2,1,56,74,74,448,49667
320,0,22:6e:45:de:34:20,HT,20,2,1,56,75,73,448,49667
321,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,66,448,49671
322,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,66,448,49671
323,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,66,448,49669
324,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,66,448,49669
325,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,68,66,448,49667
326,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,69,66,448,49671
327,0,22:6e:45:de:34:20,HT,20,2,1,56,76,73,448,49667
328,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,70,69,448,49671
329,0,3a:8d:ef:b5:3b:fc,HT,20,2,1,56,67,70,448,49671
330,0,22:6e:45:de:34:20,HT,20,2,1,56,76,76,448,49667
331,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49667
332,0,22:6e:45:de:34:20,HT,20,2,1,56,75,76,448,49666
